SubjectID	Accuracy	Bias_amp4_All	Bias_amp8_All	Threshold_amp4_All	Threshold_amp8_All	DDM_dr_amp4_All	DDM_dr_amp8_All	DDM_bound_amp4_All	DDM_bound_amp8_All	DDM_bias_amp4_All	DDM_bias_amp8_All	DDM_ndt_amp4_All	DDM_ndt_amp8_All	DDM_ve_w_amp4_All	DDM_ve_w_amp8_All	A_bound_amp4_All	A_bound_amp8_All	B_bound_amp4_All	B_bound_amp8_All	RT_s1_amp4_All	RT_s1_amp8_All	RT_smin1_amp4_All	RT_smin1_amp8_All	RT_ratio_s1_amp4_All	RT_ratio_s1_amp8_All	RT_ratio_smin1_amp4_All	RT_ratio_smin1_amp8_All	errFit_amp4_All	errFit_amp8_All	BIC_amp4_All	BIC_amp8_All	AIC_amp4_All	AIC_amp8_All
DDM01	63.1250	-0.5000	-1.0000	0.3800	0.6300	0.2071	0.1221	9.2510	13.1599	6.0113	10.3393	463.0590	508.5124	-0.3922	-5.8223	3.2397	2.8206	15.2623	23.4992	15.4628	22.5552	62.7128	146.5469	0.0323	0.0425	0.1193	0.2237	70.5286	76.1623	156.5124	167.7798	151.0572	162.3246
DDM02	96.0417	0.0200	0.1000	0.0700	0.1400	0.9372	1.2269	8.3541	3.8983	-0.8162	-1.5274	456.9200	479.3942	-0.7372	-1.9955	9.1703	5.4258	7.5379	2.3709	9.7852	4.4109	8.0433	1.9325	0.0210	0.0091	0.0173	0.0040	70.1829	57.0255	155.8210	129.5062	150.3658	124.0510
DDM03	86.8750	-0.1100	0.0300	0.0800	0.1300	0.5430	0.3448	20.8067	12.5344	15.2012	-1.4414	452.3335	454.2725	-3.8066	-1.6636	5.6055	13.9758	36.0078	11.0931	10.3232	40.4990	66.2657	32.1644	0.0223	0.0819	0.1278	0.0661	63.5708	67.5014	142.5968	150.4581	137.1416	145.0029
DDM04	88.9583	0.0800	0.0500	0.1800	0.2800	0.4066	0.2648	8.2235	7.3751	-1.9016	-0.6083	314.7201	331.7023	1.2028	-0.8309	10.1250	7.9834	6.3219	6.7668	24.7175	28.7330	15.5343	24.7066	0.0728	0.0797	0.0470	0.0693	70.0325	64.0881	155.5202	143.6314	150.0649	138.1762
DDM05	84.3750	0.1400	0.3200	0.1500	0.4000	0.3097	0.1627	16.4469	11.8330	-8.7530	-5.9570	427.8168	455.2358	2.6388	1.2259	25.1999	17.7900	7.6939	5.8760	80.9311	96.9432	24.8396	35.5731	0.1591	0.1756	0.0549	0.0725	65.2940	87.9704	146.0433	191.3961	140.5881	185.9409
DDM06	92.0833	-0.1900	0.0100	0.1100	0.1700	1.5657	0.2751	16.3915	11.5263	15.2471	-0.2197	463.4249	420.1673	-10.0299	-5.0301	1.1444	11.7460	31.6386	11.3066	0.7309	42.5266	20.1655	40.9600	0.0016	0.0919	0.0417	0.0888	81.9126	66.9380	179.2803	149.3312	173.8251	143.8760
DDM07	69.3750	0.0300	0.3400	0.1000	0.3600	0.4000	0.2090	14.3691	15.0367	-2.1098	-10.2475	440.2343	448.9236	0.1611	3.5124	16.4789	25.2842	12.2593	4.7891	41.1957	113.8360	30.6494	22.9130	0.0856	0.2023	0.0651	0.0486	65.8571	66.3730	147.1693	148.2012	141.7141	142.7460
DDM08	93.7500	0.3100	0.5300	0.3400	0.5400	0.2302	0.2054	10.8383	12.1010	-6.2078	-8.9199	290.9015	282.1429	2.9038	3.2209	17.0461	21.0210	4.6304	3.1811	68.6327	90.8522	20.0619	15.4613	0.1909	0.2436	0.0645	0.0520	68.7151	76.4157	152.8855	168.2866	147.4303	162.8313
DDM09	92.0833	-0.1200	-0.1000	0.1100	0.1800	0.4332	0.2251	12.8469	13.2774	7.0326	3.9340	332.9106	323.3552	-0.7619	-1.1618	5.8143	9.3434	19.8795	17.2113	13.4228	41.4506	45.7181	75.2190	0.0388	0.1136	0.1207	0.1887	69.0026	80.0581	153.4603	175.5714	148.0051	170.1162
DDM10	65.0000	-0.4800	-0.8000	0.2900	0.4700	0.3221	0.5146	17.2532	18.8842	15.0298	18.0473	416.0284	438.2359	-2.1657	-2.7167	2.2234	0.8368	32.2830	36.9315	6.9024	1.6261	95.8921	69.3808	0.0163	0.0037	0.1873	0.1367	69.5545	62.1656	154.5642	139.7863	149.1090	134.3311
