SubjectID	Accuracy	Bias_amp4_All	Bias_amp8_All	Threshold_amp4_All	Threshold_amp8_All	DDM_dr_amp4_All	DDM_dr_amp8_All	DDM_bound_amp4_All	DDM_bound_amp8_All	DDM_bias_amp4_All	DDM_bias_amp8_All	DDM_ndt_amp4_All	DDM_ndt_amp8_All	DDM_ve_w_amp4_All	DDM_ve_w_amp8_All	A_bound_amp4_All	A_bound_amp8_All	B_bound_amp4_All	B_bound_amp8_All	RT_s1_amp4_All	RT_s1_amp8_All	RT_smin1_amp4_All	RT_smin1_amp8_All	RT_ratio_s1_amp4_All	RT_ratio_s1_amp8_All	RT_ratio_smin1_amp4_All	RT_ratio_smin1_amp8_All	errFit_amp4_All	errFit_amp8_All	BIC_amp4_All	BIC_amp8_All	AIC_amp4_All	AIC_amp8_All
DDM01	63.1250	0.0000	0.0000	0.6200	0.9300	0.0858	0.0443	10.3802	13.3915	NaN	NaN	420.5893	415.5790	NaN	NaN	10.3802	13.3915	10.3802	13.3915	86.0914	160.8776	86.0914	160.8776	0.1699	0.2791	0.1699	0.2791	89.9869	121.8963	189.2470	253.0658	185.9739	249.7927
DDM02	96.0417	0.0000	0.0000	0.0800	0.1900	0.8942	0.5759	8.0518	5.0532	NaN	NaN	457.4289	473.9737	NaN	NaN	8.0518	5.0532	8.0518	5.0532	9.0049	8.7219	9.0049	8.7219	0.0193	0.0181	0.0193	0.0181	72.7647	78.4329	154.8026	166.1390	151.5294	162.8659
DDM03	86.8750	0.0000	0.0000	0.0900	0.1400	0.4311	0.3660	14.7313	11.0972	NaN	NaN	450.9947	459.1520	NaN	NaN	14.7313	11.0972	14.7313	11.0972	34.1696	30.3000	34.1696	30.3000	0.0704	0.0619	0.0704	0.0619	78.3658	74.7155	166.0048	158.7042	162.7316	155.4310
DDM04	88.9583	0.0000	0.0000	0.1800	0.3000	0.3383	0.2500	9.0241	7.5128	NaN	NaN	306.6474	330.3958	NaN	NaN	9.0241	7.5128	9.0241	7.5128	26.5571	28.6749	26.5571	28.6749	0.0797	0.0799	0.0797	0.0799	71.2619	65.1316	151.7969	139.5363	148.5238	136.2631
DDM05	84.3750	0.0000	0.0000	0.1700	0.4100	0.2587	0.1159	12.8687	11.6807	NaN	NaN	431.0201	433.1372	NaN	NaN	12.8687	11.6807	12.8687	11.6807	49.6183	88.1980	49.6183	88.1980	0.1032	0.1692	0.1032	0.1692	74.3904	104.9963	158.0540	219.2658	154.7808	215.9927
DDM06	92.0833	0.0000	0.0000	0.1700	0.1400	0.3279	0.3732	10.4554	10.8011	NaN	NaN	434.9882	428.2440	NaN	NaN	10.4554	10.8011	10.4554	10.8011	31.8197	28.9222	31.8197	28.9222	0.0682	0.0633	0.0682	0.0633	110.3643	86.6418	230.0017	182.5567	226.7285	179.2835
DDM07	69.3750	0.0000	0.0000	0.1100	0.3100	0.3861	0.1135	13.8568	15.8363	NaN	NaN	440.9342	394.8653	NaN	NaN	13.8568	15.8363	13.8568	15.8363	35.8893	132.0959	35.8893	132.0959	0.0753	0.2507	0.0753	0.2507	66.4505	88.8143	142.1742	186.9017	138.9011	183.6286
DDM08	93.7500	0.0000	0.0000	0.2700	0.4400	0.2754	0.4952	7.4828	2.5456	NaN	NaN	311.7762	328.2718	NaN	NaN	7.4828	2.5456	7.4828	2.5456	26.3030	4.3758	26.3030	4.3758	0.0778	0.0132	0.0778	0.0132	85.4356	116.5580	180.1443	242.3892	176.8712	239.1161
DDM09	92.0833	0.0000	0.0000	0.1400	0.1900	0.3861	0.2283	10.7824	13.0336	NaN	NaN	331.1373	322.9057	NaN	NaN	10.7824	13.0336	10.7824	13.0336	27.9102	56.7943	27.9102	56.7943	0.0777	0.1496	0.0777	0.1496	87.7853	85.6989	184.8437	180.6709	181.5705	177.3978
DDM10	65.0000	0.0000	0.0000	0.4500	0.8100	0.1303	0.0581	9.4728	11.7569	NaN	NaN	399.9406	350.6809	NaN	NaN	9.4728	11.7569	9.4728	11.7569	61.3327	120.1074	61.3327	120.1074	0.1330	0.2551	0.1330	0.2551	102.0021	109.1075	213.2774	227.4882	210.0043	224.2151
